담당부서,시설코드,시설명,시설구분,주소,부서 담당자,추가정보1,추가정보2,비고
대구경북환경본부 환경서비스처 대기관리1부,3049.0,포1호 대기측정소,측정소,포항 북구 항구동 58-54 (포항대형함정부두),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3050.0,포2호 대기측정소,측정소,포항 북구 항구동 58-54 (포항대형함정부두),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3051.0,포3호 대기측정소,측정소,포항 북구 항구동 58-54 (포항대형함정부두),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3054.0,온산산단 대기측정소,측정소,울산 울준군 온산읍 당월로 118(온산수질개선사업소)　,이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3055.0,전하동 대기측정소,측정소,울산 동구 진성4길 45 (전하2동 주민센터 3층 옥상),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3056.0,울1호 대기측정소,측정소,울산 남구 용잠동 60-16,이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3057.0,야음동 대기측정소,측정소,울산 남구 야음동 45 (야음테니스장 내),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3058.0,여천동 대기측정소,측정소,울산 남구 부두로 9 (현대자동차 엔진공장),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3059.0,신정동 대기측정소,측정소,울산 남구 봉월로 20번길 9 (신정2동 주민센터),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3060.0,울산항 대기측정소,측정소,울산 남구 매암로 96 (5부두),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3061.0,당감동 대기측정소,측정소,부산 진구 가야대로703번길 13 (당감2동 71-7, 당감2동 사무소),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3062.0,부1호 대기측정소,측정소,부산 영도구 해양로 293번지,이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3063.0,부2호 대기측정소,측정소,부산 영도구 해양로 293번지,이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3064.0,부3호 대기측정소,측정소,부산 영도구 해양로 293번지,이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3065.0,연산동 대기측정소,측정소,부산 연제구 중앙대로 1001(부산시청 녹음광장 창고),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3066.0,학장동 대기측정소,측정소,부산 사상구 대동로 205 학장초등학교 옥상　,이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3067.0,덕천동 대기측정소,측정소,부산 북구 만덕대로 155번길 81 (하수관로운영사무소),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3068.0,부산북항 대기측정소,측정소,부산 동구 충장대로 314　,이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3069.0,대연동 대기측정소,측정소,부산 남구 용소로 45 (부경대학교 2호관 옥상),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3070.0,부산감만 대기측정소,측정소,부산 남구 북항로 106,이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3071.0,정관면 대기측정소,측정소,부산 기장군 정관면 월평1길 21 (월평초교 옥상),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3072.0,장전동 대기측정소,측정소,부산 금정구 부산대학로 63번길 2 (부산대학교 옥상),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3073.0,부산신항 대기측정소,측정소,부산 강서구 신항남로 416,이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3074.0,지산동 대기측정소,측정소,대구 수성구 무학로 209(대구경북환경본부) 옥상,이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3075.0,만촌동 대기측정소,측정소,대구 수성구 동원로 84 (차량등록사업소 옥상),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3076.0,침산동 대기측정소,측정소,대구 북구 침산남로 9길164(경상여고 옥상),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3077.0,산격동 대기측정소,측정소,대구 북구 대학로 80 경북대학교(농대2호관5층옥상),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3078.0,달성산단 대기측정소,측정소,대구 달성군 논공읍 남리 471-2(달성산단 폐수종말처리장 내)　,이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3079.0,이동차 대기측정소,측정소,대구 달서구 성서공단로40(대천로),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3080.0,대명동 대기측정소,측정소,대구 남구 성당로 30길 55 (성명초등학교),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3081.0,포항항 대기측정소,측정소,경북 포항시 남구 신항로 99-98,이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3082.0,대송면 대기측정소,측정소,경북 포항시 남구 대송면 홍계길 19 (대송면사무소),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3083.0,안계면 대기측정소,측정소,경북 의성군 안계면 위양2길 9-26,이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3084.0,태하리 대기측정소,측정소,경북 울릉군 서면 태하등대길 188 (울릉도등대),이상원 대리(010-4750-8870),-,-,-
