담당부서,시설코드,시설명,시설구분,주소,부서 담당자,추가정보1,추가정보2,비고
대구경북환경본부 환경서비스처 유역관리부,3002.0,낙동강하류방제비축센터,기타,경남 김해시 대동면 초정리 58-11,강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3003.0,소규모방제창고(예천),기타,경북 예천군 지보면 지풍로 1034,강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3004.0,소규모방제창고(적포),기타,경남 합천군 청덕면 앙진리 544-1,강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3005.0,소규모방제창고(달성),기타,대구 달성군 논공읍 남리 471-2,강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3006.0,소규모방제창고(밀양),기타,경남 밀양시 하남읍 수산리 130,강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3007.0,소규모방제창고(창암),기타,경남 김해시 생림면 마사리 20-13,강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3008.0,안동댐하류국가수질자동측정소,측정소,경북 안동시 석주로 264(상아동 산151, 영락교),강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3009.0,풍양국가수질자동측정소,측정소,경북 예천군 풍양면 삼강로 1063-57(삼강리 산43-3),강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3010.0,회상국가수질자동측정소,측정소,경북 상주시 중동면 회상3길 41,강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3011.0,신암국가수질자동측정소,측정소,경북 상주시 중동면 상주다인로 392-9(신암리 176-4, 중동교),강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3012.0,위천국가수질자동측정소,측정소,경북 상주시 중동면 우물리 366,강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3013.0,도개국가수질자동측정소,측정소,경북 구미시 도개면 강동로 2695(신림리 726-10, 일선교),강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3014.0,감천국가수질자동측정소,측정소,경북 구미시 선산읍  어강길 201-24(원리 310-5, 남산교),강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3015.0,해평국가수질자동측정소,측정소,경북 구미시 고아읍 봉한4안길 242(봉한리 2-5, 숭선대교),강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3016.0,왜관국가수질자동측정소,측정소,경북 칠곡군 기산면 주산로 1166-39(행정리 1285-1, 제2왜관교),강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3017.0,다산국가수질자동측정소,측정소,경북 고령군 다산면 월암길 131-6,강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3018.0,내성천국가수질자동측정소,측정소,경북 예천군 용궁면 회룡대길 2(대은리 480-1),강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3019.0,구미국가수질자동측정소,측정소,경북 칠곡군 석적읍 3공단1로 1-15(중리 726-3),강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3020.0,회천국가수질자동측정소,측정소,경북 고령군 우곡면 우곡로 1033-12(사촌리 899-1, 윗골교차로),강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3021.0,성서국가수질자동측정소,측정소,대구 달성군 화원읍 구라로 92(구라리 786-2),강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3022.0,청도천국가수질자동측정소,측정소,경북 청도군 청도읍 박월길 12-27(월곡리 74, 박월교),강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3023.0,봉화국가수질자동측정소,측정소,경북 봉화군 소천면 분철길 15-29(분천리 1146-7),강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3001.0,낙동강중상류방제비축센터,기타,대구 달서구 대천동 900-1,강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3024.0,안동국가수질자동측정소,측정소,경북 안동시 풍천면 풍일로 36-22(도양리 7-2, 광덕교),강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3025.0,칠곡국가수질자동측정소,측정소,경북 칠곡군 북삼읍 강변서로 666,강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3026.0,남천국가수질자동측정소,측정소,대구 수성구 고산로 277-15(매호동 122-2),강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3027.0,강창국가수질자동측정소,측정소,대구 달성군 다사읍 서재로 271,강건호 대리(010-4429-2514),-,-,-
대구경북환경본부 환경서비스처 유역관리부,3028.0,고령국가수질자동측정소,측정소,경북 고령군 성산면 성산로 1140(삼대리 112-3, 고령교),강건호 대리(010-4429-2514),-,-,-
