담당부서,시설코드,시설명,시설구분,주소,부서 담당자,추가정보1,추가정보2,비고
대구경북환경본부 자원순환관리처 자원순환사업부,3029.0,성주폐비닐 재활용시설,영농폐비닐 재활용시설,경북 성주군 가천면 가천로 110-9,김경환 대리(010-7525-4330),-,-,-
대구경북환경본부 자원순환관리처 자원순환사업부,3030.0,봉화폐비닐 재활용시설,영농폐비닐 재활용시설,경북 봉화군 봉화읍 농업인길 94,김경환 대리(010-7525-4330),-,-,-
대구경북환경본부 자원순환관리처 자원순환사업부,3031.0,의성수거사업소,영농폐기물 수거사업소,경북 의성군 의성읍 철파리 541-2,김경환 대리(010-7525-4330),-,-,-
대구경북환경본부 자원순환관리처 자원순환사업부,3032.0,영천수거사업소,영농폐기물 수거사업소,경북 영천시 대창면 대창리 910-1,김경환 대리(010-7525-4330),-,-,-
대구경북환경본부 자원순환관리처 자원순환사업부,3035.0,영양수거사업소,영농폐기물 수거사업소,경북 영양군 입암면 신구리 54-2,김경환 대리(010-7525-4330),-,-,-
대구경북환경본부 자원순환관리처 자원순환사업부,3036.0,안동수거사업소,영농폐기물 수거사업소,경북 안동시 임하면 금소길 97,김경환 대리(010-7525-4330),-,-,-
대구경북환경본부 자원순환관리처 자원순환사업부,3037.0,압수폐기물 보관창고,압수폐기물 보관창고,대구시 달서구 성서공단로40,김경환 대리(010-7525-4330),-,-,-
대구경북환경본부 자원순환관리처 자원순환사업부,3039.0,성서청사,청사,대구시 달서구 성서공단로40,김경환 대리(010-7525-4330),-,-,-
대구경북환경본부 자원순환관리처 자원순환사업부,3042.0,안동폐비닐 재활용시설,영농폐비닐 재활용시설,경북 안동시 임하면 금소길 97,김경환 대리(010-7525-4330),-,-,-
대구경북환경본부 자원순환관리처 자원순환사업부,3043.0,포항수거사업소,영농폐기물 수거사업소,경북 포항시 북구 우현동 303-3,김경환 대리(010-7525-4330),-,-,-
대구경북환경본부 자원순환관리처 자원순환사업부,3044.0,성주수거사업소,영농폐기물 수거사업소,경북 성주군 가천면 가천로 110-9,김경환 대리(010-7525-4330),-,-,-
대구경북환경본부 자원순환관리처 자원순환사업부,3045.0,봉화수거사업소,영농폐기물 수거사업소,경북 봉화군 봉화읍 농업인길 94,김경환 대리(010-7525-4330),-,-,-
대구경북환경본부 자원순환관리처 자원순환사업부,3046.0,구미수거사업소,영농폐기물 수거사업소,경북 구미시 부곡동 635,김경환 대리(010-7525-4330),-,-,-
대구경북환경본부 자원순환관리처 자원순환사업부,3047.0,재활용품 비축기지,재활용품 비축기지,대구시 달서구 성서공단로40,김경환 대리(010-7525-4330),-,-,-
대구경북환경본부 자원순환관리처 자원순환사업부,3048.0,미래폐자원 거점수거센터,미래폐자원 거점수거센터,대구시 달서구 성서공단로40,김경환 대리(010-7525-4330),-,-,-
